case_id,NQ_MATRIX,nx,ny,grid_size,matrix_size,condition_number,circuit_qubits,circuit_gates,circuit_depth,circuit_gates_transpiled,circuit_depth_transpiled,qc_shots,qc_backend
hs_torino_sim_run1_0,2,2,2,4,4,1.0,133,3483,2618,3483,2618,100,ibm_torino_aer
hs_torino_sim_run1_1,2,2,2,4,4,1.0,133,3564,2633,3564,2633,1000,ibm_torino_aer
hs_torino_sim_run1_2,2,2,2,4,4,1.0,133,3492,2581,3492,2581,10000,ibm_torino_aer
hs_torino_sim_run1_3,2,2,2,4,4,1.0,133,3537,2588,3537,2588,100000,ibm_torino_aer
hs_torino_sim_run2_0,2,2,2,4,4,1.0,133,3555,2597,3555,2597,100,ibm_torino_aer
hs_torino_sim_run2_1,2,2,2,4,4,1.0,133,3555,2598,3555,2598,1000,ibm_torino_aer
hs_torino_sim_run2_2,2,2,2,4,4,1.0,133,3582,2654,3582,2654,10000,ibm_torino_aer
hs_torino_sim_run2_3,2,2,2,4,4,1.0,133,3492,2621,3492,2621,100000,ibm_torino_aer
hs_torino_sim_run3_0,2,2,2,4,4,1.0,133,3600,2631,3600,2631,100,ibm_torino_aer
hs_torino_sim_run3_1,2,2,2,4,4,1.0,133,3456,2563,3456,2563,1000,ibm_torino_aer
hs_torino_sim_run3_2,2,2,2,4,4,1.0,133,3465,2611,3465,2611,10000,ibm_torino_aer
hs_torino_sim_run3_3,2,2,2,4,4,1.0,133,3564,2597,3564,2597,100000,ibm_torino_aer
hs_torino_sim_run4_0,2,2,2,4,4,1.0,133,3465,2536,3465,2536,100,ibm_torino_aer
hs_torino_sim_run4_1,2,2,2,4,4,1.0,133,3483,2564,3483,2564,1000,ibm_torino_aer
hs_torino_sim_run4_2,2,2,2,4,4,1.0,133,3465,2586,3465,2586,10000,ibm_torino_aer
hs_torino_sim_run4_3,2,2,2,4,4,1.0,133,3528,2641,3528,2641,100000,ibm_torino_aer
